Num_Qubits,Num_Layers,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_CCX,L2_CCX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
10,20,21,21,16,17,31,31,112,115,15,15,20,20,94,124,0.007154941558837891,0.03919506072998047,65.32207012176514,398,398,385,389,3,2,12,8,3,2,0,0,False,65.19394040107727,0,0.0370481014251709
10,20,22,22,19,15,29,29,96,93,12,12,20,20,88,102,0.006468772888183594,0.02637481689453125,51.256794929504395,332,332,326,322,2,3,8,12,2,3,0,0,True,50.965951919555664,0.1218709945678711,0.08303284645080566
10,20,25,25,20,19,26,26,96,96,13,13,20,20,119,106,0.006314992904663086,0.02550482749938965,74.19731402397156,350,350,341,342,3,3,14,14,4,4,0,0,False,74.08958077430725,0,0.03226780891418457
10,20,19,19,15,16,27,27,117,117,15,15,20,20,99,123,0.00691986083984375,0.029841899871826172,53.35930919647217,388,388,385,387,0,0,0,0,0,0,0,0,False,53.23651719093323,0,0.035108327865600586
10,20,28,28,17,20,23,23,100,103,15,15,20,20,83,98,0.006852149963378906,0.02895188331604004,78.48401689529419,389,389,372,378,4,3,20,16,6,5,0,0,False,78.36498093605042,0,0.03529167175292969
10,20,25,25,19,16,25,25,118,118,16,16,20,20,104,109,0.006682157516479492,0.02969503402709961,58.92844891548157,411,411,404,404,1,1,4,4,1,1,0,0,True,58.75662565231323,0.019859790802001953,0.043233633041381836
10,20,26,26,19,19,35,35,127,129,17,17,20,20,100,140,0.0070912837982177734,0.03260016441345215,93.89089632034302,453,453,444,445,4,3,18,14,5,4,0,0,False,93.74484086036682,0,0.040231943130493164
10,20,19,19,17,17,34,34,106,103,12,12,20,20,84,87,0.00654292106628418,0.02591085433959961,51.660441160202026,339,339,338,338,0,1,0,6,0,2,0,0,False,51.55690097808838,0,0.03250479698181152
10,20,20,20,12,13,19,19,148,148,22,22,20,20,130,161,0.007159709930419922,0.03715682029724121,46.406161069869995,520,520,515,515,1,1,4,4,1,1,0,0,False,46.242023944854736,0,0.04319310188293457
10,20,21,21,16,14,17,17,123,120,18,18,20,20,118,123,0.0061969757080078125,0.031000137329101562,51.30509901046753,433,433,429,424,1,2,4,8,1,2,0,0,False,51.17292666435242,0,0.03778982162475586
10,20,22,22,19,18,30,30,85,85,10,10,20,20,71,96,0.005325794219970703,0.022223949432373047,55.91484308242798,292,292,292,291,2,2,10,10,3,3,0,0,True,55.78510236740112,0.015201807022094727,0.03316831588745117
10,20,23,23,13,12,25,25,119,121,17,17,20,20,110,160,0.00677490234375,0.03323221206665039,58.74893522262573,430,430,418,421,3,2,12,8,3,2,0,0,True,58.57728147506714,0.017856121063232422,0.045506954193115234
