Num_Qubits,Num_Layers,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_CCX,L2_CCX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
10,20,21,21,16,11,31,31,112,112,15,15,20,20,94,107,0.008899688720703125,0.03269600868225098,161.62021231651306,398,398,385,383,3,3,12,12,3,3,0,0,False,161.44291806221008,0,0.05729508399963379
10,20,22,22,19,11,29,29,96,94,12,12,20,20,88,88,0.006273746490478516,0.0262601375579834,93.21828389167786,332,332,326,323,2,3,8,12,2,3,0,0,True,92.90566205978394,0.07516098022460938,0.06606602668762207
10,20,25,25,20,18,26,26,96,96,13,13,20,20,119,106,0.006392955780029297,0.026463031768798828,148.0764548778534,350,350,341,337,3,3,14,14,4,4,0,0,False,147.9275233745575,0,0.038384199142456055
10,20,19,19,15,11,27,27,117,94,15,15,20,20,99,88,0.007135868072509766,0.0298616886138916,82.80776691436768,388,388,385,323,0,3,0,12,0,3,0,0,False,82.68110466003418,0,0.035890817642211914
10,20,28,28,17,10,23,23,100,100,15,15,20,20,83,79,0.006791830062866211,0.028130054473876953,132.0862798690796,389,389,372,369,4,4,20,20,6,6,0,0,False,131.93091559410095,0,0.04399275779724121
10,20,25,25,19,13,25,25,118,118,16,16,20,20,104,110,0.00683903694152832,0.030349016189575195,186.2136251926422,411,411,404,401,1,1,4,4,1,1,0,0,False,186.02961897850037,0,0.044027090072631836
10,20,26,26,19,10,35,35,127,100,17,17,20,20,100,79,0.006963968276977539,0.03375101089477539,133.41194486618042,453,453,444,369,4,4,18,20,5,6,0,0,False,133.25469064712524,0,0.045152902603149414
10,20,19,19,17,13,34,34,106,104,12,12,20,20,84,85,0.006620883941650391,0.026040077209472656,137.54527115821838,339,339,338,334,0,1,0,4,0,1,0,0,False,137.40364694595337,0,0.03717494010925293
10,20,20,20,12,4,19,19,148,144,22,22,20,20,130,139,0.006942033767700195,0.03732895851135254,183.64508605003357,520,520,515,502,1,3,4,12,1,3,0,0,False,183.39350628852844,0,0.057151079177856445
10,20,21,21,16,7,17,17,123,121,18,18,20,20,118,120,0.006544828414916992,0.03136110305786133,189.3697271347046,433,433,429,422,1,2,4,8,1,2,0,0,False,189.17581057548523,0,0.04517030715942383
10,20,22,22,19,13,30,30,85,85,10,10,20,20,71,75,0.005474090576171875,0.0225830078125,129.75040483474731,292,292,292,289,2,2,10,10,3,3,0,0,False,129.62790369987488,0,0.03783297538757324
10,20,23,23,13,6,25,25,119,119,17,17,20,20,110,128,0.006626605987548828,0.03316307067871094,144.38259482383728,430,430,418,415,3,3,12,12,3,3,0,0,False,144.19942450523376,0,0.04824423789978027
10,20,23,23,16,13,19,19,150,85,23,23,20,20,136,75,0.008107185363769531,0.04028916358947754,129.74588894844055,544,544,537,289,3,2,14,10,4,3,0,0,False,129.61630845069885,0,0.044497013092041016
10,20,18,18,14,8,30,30,139,139,20,20,20,20,110,127,0.007562875747680664,0.03762006759643555,179.45873880386353,498,498,492,482,4,4,20,20,6,6,0,0,False,179.2306890487671,0,0.05658102035522461
10,20,24,24,18,10,29,29,98,96,12,12,20,20,93,94,0.005883932113647461,0.025796890258789062,137.37588906288147,334,334,327,325,1,2,4,8,1,2,0,0,False,137.24106431007385,0,0.036737918853759766
10,20,26,26,19,10,17,17,148,148,23,23,20,20,121,150,0.0077822208404541016,0.04074287414550781,283.8287510871887,543,543,527,519,2,2,10,10,3,3,0,0,False,283.5647597312927,0,0.058106184005737305
10,20,27,27,19,11,18,18,122,122,19,19,20,20,104,106,0.0068340301513671875,0.03325533866882324,211.36996507644653,462,462,445,437,3,3,14,14,4,4,0,0,False,211.1663041114807,0,0.04825401306152344
10,20,22,22,17,13,33,33,123,121,15,15,20,20,102,112,0.006603717803955078,0.030412912368774414,174.57750868797302,403,403,398,395,0,1,0,4,0,1,0,0,False,174.3988218307495,0,0.0433499813079834
10,20,23,23,18,10,24,24,146,146,21,21,20,20,126,158,0.008213043212890625,0.05423998832702637,231.12610983848572,512,512,502,489,1,1,4,4,1,1,0,0,False,230.8836350440979,0,0.0556488037109375
10,20,26,26,23,18,31,31,85,83,9,9,20,20,73,73,0.005977153778076172,0.021492958068847656,158.03781580924988,277,277,274,272,0,1,0,4,0,1,0,0,False,157.91976809501648,0,0.031235218048095703
10,20,23,23,18,12,18,18,108,108,15,15,20,20,91,94,0.006350040435791016,0.026790142059326172,181.32133793830872,374,374,372,368,0,0,0,0,0,0,0,0,False,181.15994834899902,0,0.03885197639465332
10,20,17,17,13,10,33,33,98,98,12,12,20,20,93,92,0.006256103515625,0.025851964950561523,104.88749575614929,335,335,327,325,3,3,10,10,2,2,0,0,False,104.75153374671936,0,0.03864884376525879
10,20,28,28,26,19,27,27,99,99,12,12,20,20,94,103,0.006762027740478516,0.024798154830932617,241.91200304031372,334,334,330,327,0,0,0,0,0,0,0,0,False,241.75904440879822,0,0.037081003189086914
10,20,18,18,12,6,20,20,134,134,19,19,20,20,120,134,0.007050037384033203,0.0334169864654541,159.52971506118774,457,457,451,441,0,0,0,0,0,0,0,0,False,159.3219437599182,0,0.05113935470581055
10,20,25,25,20,12,32,32,89,86,10,10,20,20,79,80,0.0057637691497802734,0.022983074188232422,94.91125011444092,299,299,292,285,1,2,4,8,1,2,0,0,True,94.6550874710083,0.06231951713562012,0.05109906196594238
10,20,25,25,21,17,30,30,87,87,10,10,20,20,85,104,0.0061228275299072266,0.02303910255432129,164.61516499519348,295,295,289,289,1,1,4,4,1,1,0,0,False,164.489896774292,0,0.032975196838378906
10,20,18,18,14,8,29,29,97,97,13,13,20,20,89,88,0.006186008453369141,0.025779008865356445,120.734454870224,349,349,340,339,3,3,14,14,4,4,0,0,False,120.59761309623718,0,0.037972211837768555
10,20,22,22,12,9,27,27,144,144,20,20,20,20,118,121,0.007477998733520508,0.03575491905212402,168.85632801055908,496,496,482,481,1,1,4,4,1,1,0,0,False,168.62624716758728,0,0.052442073822021484
10,20,28,28,20,12,22,22,98,96,14,14,20,20,90,94,0.006356000900268555,0.027019977569580078,181.57885813713074,366,366,353,350,3,4,12,16,3,4,0,0,False,181.42688655853271,0,0.0401158332824707
10,20,22,22,19,15,35,35,86,84,9,9,20,20,64,66,0.005904674530029297,0.021577119827270508,129.24173283576965,281,281,275,271,1,2,4,6,1,1,0,0,False,129.1231870651245,0,0.03561997413635254
10,20,22,22,17,8,26,26,129,129,18,18,20,20,123,126,0.007183074951171875,0.03278207778930664,211.31070971488953,452,452,443,438,2,2,8,8,2,2,0,0,False,211.10358595848083,0,0.050312042236328125
10,20,21,21,16,15,30,30,126,84,16,16,20,20,112,66,0.006554841995239258,0.031203031539916992,129.2918348312378,417,417,416,271,0,2,0,6,0,1,0,0,False,129.17340898513794,0,0.03622889518737793
10,20,25,25,19,11,19,19,140,140,21,21,20,20,122,129,0.007492780685424805,0.03560280799865723,252.17528295516968,504,504,500,489,2,2,10,10,3,3,0,0,False,251.93188071250916,0,0.05362224578857422
10,20,19,19,15,11,31,31,118,116,15,15,20,20,122,132,0.006638050079345703,0.030001163482666016,169.26015305519104,396,396,392,385,1,2,4,8,1,2,0,0,False,169.0921971797943,0,0.043039560317993164
10,20,20,20,17,12,27,27,85,83,11,11,20,20,87,87,0.006174802780151367,0.02328205108642578,114.59573411941528,305,305,297,294,3,4,14,18,4,5,0,0,False,114.4770302772522,0,0.03416895866394043
10,20,24,24,19,9,29,29,111,111,14,14,20,20,108,109,0.006692171096801758,0.02920389175415039,175.44945621490479,376,376,369,364,0,0,0,0,0,0,0,0,False,175.28660416603088,0,0.04080986976623535
10,20,20,20,15,10,30,30,114,111,15,15,20,20,99,98,0.006590127944946289,0.029421091079711914,147.85902428627014,395,395,386,381,2,3,10,16,3,5,0,0,False,147.69543957710266,0,0.04284811019897461
10,20,22,22,16,5,17,17,116,114,17,17,20,20,135,137,0.00693202018737793,0.029993772506713867,164.20880722999573,413,413,407,400,1,2,6,10,2,3,0,0,False,164.03529953956604,0,0.04328012466430664
10,20,22,22,17,12,28,28,122,120,17,17,20,20,108,126,0.007917165756225586,0.03251981735229492,182.22466206550598,435,435,430,424,3,4,16,20,5,6,0,0,False,182.02992916107178,0,0.04981493949890137
10,20,21,21,17,12,20,20,132,132,19,19,20,20,105,141,0.00757598876953125,0.03437209129333496,206.53588604927063,460,460,455,445,1,1,4,4,1,1,0,0,False,206.31793665885925,0,0.05054306983947754
10,20,23,23,18,14,33,33,111,109,13,13,20,20,95,114,0.0071070194244384766,0.027072906494140625,154.69602394104004,362,362,356,352,0,1,0,4,0,1,0,0,False,154.54068541526794,0,0.03994393348693848
10,20,24,24,19,12,22,22,118,118,16,16,20,20,109,118,0.006400108337402344,0.029011964797973633,184.3311722278595,404,404,401,394,0,0,0,0,0,0,0,0,False,184.14501285552979,0,0.04185223579406738
10,20,21,21,12,6,26,26,128,128,19,19,20,20,104,113,0.006803035736083984,0.03479290008544922,146.054673910141,472,472,460,449,4,4,20,20,6,6,0,0,False,145.85245633125305,0,0.051302194595336914
10,20,27,27,20,10,28,28,122,122,16,16,20,20,105,120,0.007044076919555664,0.03090190887451172,210.70631289482117,419,419,413,410,1,1,4,4,1,1,0,0,False,210.51817560195923,0,0.044445037841796875
10,20,27,27,21,15,31,31,111,111,15,15,20,20,94,93,0.006952047348022461,0.03011608123779297,217.88720989227295,404,404,388,384,4,4,14,14,3,3,0,0,False,217.71141576766968,0,0.0438690185546875
10,20,29,29,22,9,18,18,117,117,17,17,20,20,115,127,0.006783008575439453,0.03075098991394043,223.8691189289093,422,422,408,405,1,1,4,4,1,1,0,0,False,223.68355679512024,0,0.044966936111450195
10,20,24,24,20,11,36,36,120,120,14,14,20,20,104,109,0.0069239139556884766,0.028793811798095703,129.1724569797516,390,390,384,376,0,0,0,0,0,0,0,0,True,128.78225088119507,0.10437822341918945,0.06477761268615723
10,20,22,22,16,7,22,22,148,144,21,21,20,20,123,141,0.007423877716064453,0.03694629669189453,219.584636926651,507,507,500,493,0,2,0,8,0,2,0,0,False,219.33894968032837,0,0.05604672431945801
10,20,24,24,18,13,20,20,126,126,18,18,20,20,110,135,0.0069539546966552734,0.03284716606140137,199.25281882286072,442,442,437,429,1,1,4,4,1,1,0,0,False,199.05398559570312,0,0.0475001335144043
10,20,14,14,11,8,34,34,92,90,10,10,20,20,90,94,0.005507946014404297,0.023044109344482422,81.94134378433228,292,292,289,288,1,2,4,8,1,2,0,0,False,81.82693552970886,0,0.033509016036987305
10,15,15,15,13,8,14,14,104,104,15,15,15,15,73,91,0.006950855255126953,0.026745080947875977,129.69220399856567,358,358,354,347,0,0,0,0,0,0,0,0,False,129.54626941680908,0,0.04025435447692871
10,15,25,25,19,8,18,18,104,104,15,15,15,15,94,89,0.00627899169921875,0.029330968856811523,178.91239023208618,376,376,369,365,2,2,8,8,2,2,0,0,False,178.7542006969452,0,0.0408177375793457
10,15,11,11,6,3,11,11,119,119,18,18,15,15,105,121,0.006129026412963867,0.03027510643005371,87.43210172653198,411,411,407,401,0,0,0,0,0,0,0,0,False,87.26241540908813,0,0.0428318977355957
10,15,17,17,11,1,19,19,79,79,11,11,15,15,68,65,0.005002021789550781,0.02219080924987793,27.450610160827637,286,286,277,274,2,2,8,8,2,2,0,0,True,27.228185653686523,0.054167747497558594,0.0485529899597168
10,15,18,18,16,11,23,23,77,77,9,9,15,15,67,82,0.005219936370849609,0.019682884216308594,104.70199179649353,253,253,251,246,0,0,0,0,0,0,0,0,False,104.60038447380066,0,0.0286407470703125
10,15,16,16,9,5,16,16,97,97,15,15,15,15,95,90,0.006487846374511719,0.026888132095336914,86.02005887031555,363,363,350,348,3,3,14,14,4,4,0,0,False,85.88345289230347,0,0.03833818435668945
10,15,20,20,16,11,18,18,82,77,11,11,15,15,87,86,0.005400180816650391,0.022101879119873047,76.15944314002991,287,287,281,277,1,3,4,14,1,4,0,0,True,75.91403937339783,0.05677390098571777,0.050287723541259766
10,15,24,24,18,12,18,18,90,88,13,13,15,15,82,97,0.005701780319213867,0.024599790573120117,136.72502779960632,333,333,321,318,2,3,8,12,2,3,0,0,False,136.59206438064575,0,0.03588700294494629
10,15,21,21,15,10,12,12,95,95,15,15,15,15,80,97,0.006721973419189453,0.027755022048950195,133.05800223350525,360,360,354,350,3,3,14,14,4,4,0,0,False,132.91312670707703,0,0.039945125579833984
10,15,17,17,15,9,20,20,56,51,6,6,15,15,51,51,0.004354715347290039,0.015060186386108398,68.23824882507324,183,183,181,174,0,2,0,6,0,1,0,0,False,68.15693020820618,0,0.024821043014526367
10,15,12,12,10,4,18,18,76,76,11,11,15,15,71,67,0.0051419734954833984,0.02246999740600586,64.65462827682495,279,279,273,271,3,3,14,14,4,4,0,0,False,64.55309176445007,0,0.03157687187194824
10,15,19,19,14,9,15,15,103,51,15,15,15,15,100,51,0.006520986557006836,0.027564048767089844,68.28000569343567,364,364,359,174,1,2,4,6,1,1,0,0,False,68.19731569290161,0,0.02842402458190918
10,15,16,16,12,3,16,16,106,103,16,16,15,15,107,98,0.006195068359375,0.02834606170654297,111.97743010520935,384,384,380,378,2,3,12,18,4,6,0,0,False,111.82292413711548,0,0.04201984405517578
10,15,18,18,13,10,14,14,110,110,16,16,15,15,99,93,0.006155967712402344,0.028290987014770508,129.23685789108276,382,382,378,374,0,0,0,0,0,0,0,0,False,129.07563996315002,0,0.04019784927368164
10,15,19,19,12,7,14,14,81,79,13,13,15,15,81,77,0.005613803863525391,0.025229930877685547,86.26110911369324,320,320,309,306,4,5,18,22,5,6,0,0,False,86.13873171806335,0,0.03631424903869629
10,15,17,17,13,7,25,25,94,94,13,13,15,15,74,75,0.006417036056518555,0.0255889892578125,112.40851187705994,340,340,328,326,3,3,12,12,3,3,0,0,False,112.27109456062317,0,0.03815340995788574
10,15,18,18,14,8,24,24,87,87,12,12,15,15,67,80,0.006143093109130859,0.02395176887512207,105.94389295578003,318,318,314,312,4,4,18,18,5,5,0,0,False,105.81965136528015,0,0.035637617111206055
10,15,12,12,7,5,21,21,101,101,14,14,15,15,82,91,0.006207942962646484,0.02781510353088379,77.63818907737732,348,348,345,342,2,2,8,8,2,2,0,0,False,77.50110983848572,0,0.03918170928955078
10,15,21,21,16,13,24,24,86,84,12,12,15,15,76,80,0.005666971206665039,0.02405405044555664,118.73952412605286,321,321,310,309,3,4,14,18,4,5,0,0,False,118.61346316337585,0,0.034709930419921875
10,15,9,9,8,6,20,20,89,89,12,12,15,15,78,87,0.006022930145263672,0.023648977279663086,70.12148594856262,301,301,298,293,1,1,4,4,1,1,0,0,False,70.00523614883423,0,0.03362226486206055
10,15,19,19,16,10,15,15,93,90,13,13,15,15,87,101,0.006029844284057617,0.024940967559814453,132.36274933815002,322,322,319,314,0,1,0,6,0,2,0,0,False,132.23064136505127,0,0.03656506538391113
10,15,20,20,16,13,19,19,83,83,11,11,15,15,86,85,0.005463123321533203,0.02268385887145996,102.24839305877686,289,289,286,284,1,1,4,4,1,1,0,0,False,102.13262438774109,0,0.0323030948638916
