Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
6,4,3,0,2,2,8,6,5,5,14,11,0.0014042854309082031,0.006062984466552734,0.16533231735229492,31,29,28,21,0,0,0,0,0,0,0,0,False,0.13584685325622559,0,0.01336216926574707
5,3,2,0,2,2,8,6,5,5,14,12,0.0013759136199951172,0.006020307540893555,0.13135576248168945,30,28,27,23,0,1,0,2,0,0,0,0,False,0.08606433868408203,0,0.012161493301391602
5,5,4,1,2,2,8,6,5,5,14,12,0.0012569427490234375,0.00634312629699707,0.2574188709259033,30,30,29,22,0,0,0,0,0,0,0,0,False,0.21176862716674805,0,0.012972116470336914
5,3,2,0,2,2,8,6,5,5,14,12,0.0013971328735351562,0.006558895111083984,0.1451561450958252,30,28,27,23,0,1,0,2,0,0,0,0,False,0.09993839263916016,0,0.01244497299194336
4,2,1,0,2,2,8,6,5,4,13,12,0.0012898445129394531,0.0059051513671875,0.1041727066040039,29,27,26,23,0,1,0,2,0,0,0,0,False,0.06072092056274414,0,0.011693000793457031
4,4,3,1,2,2,8,6,5,5,14,12,0.0011570453643798828,0.006021738052368164,0.18093085289001465,29,29,28,24,0,1,0,2,0,0,0,0,False,0.13495326042175293,0,0.012866020202636719
4,4,3,1,2,2,8,6,5,5,14,13,0.0012700557708740234,0.0060749053955078125,0.20294666290283203,29,29,28,24,0,1,0,2,0,0,0,0,False,0.1566784381866455,0,0.013245105743408203
4,4,3,3,3,3,9,9,5,5,14,16,0.001416921615600586,0.006536006927490234,0.2282428741455078,31,31,30,30,0,0,0,0,0,0,0,0,False,0.17845416069030762,0,0.015573978424072266
4,4,3,1,3,3,9,7,5,5,14,13,0.0013413429260253906,0.006516933441162109,0.19861483573913574,31,31,30,26,0,1,0,2,0,0,0,0,False,0.1500859260559082,0,0.014615297317504883
4,4,3,1,3,3,9,7,5,5,14,14,0.0013720989227294922,0.006680727005004883,0.21789193153381348,31,31,30,26,0,1,0,2,0,0,0,0,False,0.17006373405456543,0,0.01427316665649414
4,2,1,0,3,3,9,6,5,5,14,12,0.001394033432006836,0.006051063537597656,0.11063289642333984,31,29,28,27,0,1,0,4,0,1,0,0,False,0.06696367263793945,0,0.011914730072021484
4,4,3,0,3,3,9,5,5,5,14,13,0.0012030601501464844,0.006493806838989258,0.09571290016174316,31,31,30,21,0,1,0,2,0,0,0,0,True,0.030567169189453125,0.0059659481048583984,0.02190113067626953
4,2,1,1,3,1,7,7,5,3,12,13,0.0013098716735839844,0.005719184875488281,0.09494400024414062,31,25,24,24,0,0,0,0,0,0,0,0,False,0.05161404609680176,0,0.011763572692871094
3,3,2,2,3,3,9,9,5,5,14,15,0.0012691020965576172,0.006293058395385742,0.15658807754516602,30,30,29,29,0,0,0,0,0,0,0,0,False,0.10915946960449219,0,0.014275074005126953
3,3,2,1,3,3,9,7,5,5,14,13,0.0012788772583007812,0.0062961578369140625,0.15512299537658691,30,30,29,26,0,1,0,2,0,0,0,0,False,0.10807991027832031,0,0.01361083984375
3,3,2,1,3,3,9,7,5,5,14,14,0.0012371540069580078,0.0064470767974853516,0.15291905403137207,30,30,29,26,0,1,0,2,0,0,0,0,False,0.10700607299804688,0,0.013466358184814453
3,3,2,1,3,3,9,6,5,5,14,12,0.0012259483337402344,0.006079912185668945,0.15626096725463867,30,30,29,28,0,1,0,4,0,1,0,0,False,0.11053872108459473,0,0.013157367706298828
3,3,2,0,3,3,9,5,5,5,14,12,0.0011870861053466797,0.006251096725463867,0.16064786911010742,30,30,29,23,0,2,0,4,0,0,0,0,False,0.11556005477905273,0,0.01266789436340332
3,3,2,2,3,1,7,7,5,4,13,13,0.0013539791107177734,0.005733966827392578,0.13105201721191406,30,26,25,25,0,0,0,0,0,0,0,0,False,0.08619332313537598,0,0.012485265731811523
7,3,4,1,2,2,8,6,5,5,15,12,0.0016908645629882812,0.00627899169921875,0.17754793167114258,32,28,29,26,0,1,0,4,0,1,0,0,True,0.057409048080444336,0.00686192512512207,0.07302021980285645
6,2,3,2,2,2,8,8,5,4,15,14,0.0017161369323730469,0.006175994873046875,0.20448899269104004,31,27,28,27,0,0,0,0,0,0,0,0,False,0.15748882293701172,0,0.013713836669921875
6,4,3,1,2,2,8,6,5,5,15,12,0.0013947486877441406,0.006123065948486328,0.11867499351501465,31,29,28,26,0,1,0,4,0,1,0,0,True,0.05293154716491699,0.005265235900878906,0.021819114685058594
6,4,5,0,2,2,8,6,5,5,15,12,0.0015959739685058594,0.006167173385620117,0.1085660457611084,31,29,30,25,0,1,0,4,0,1,0,0,True,0.03896045684814453,0.007138967514038086,0.02351832389831543
5,3,4,1,2,2,8,6,5,4,15,13,0.001634836196899414,0.006143093109130859,0.12073206901550293,30,28,29,26,0,1,0,4,0,1,0,0,True,0.05161571502685547,0.006812334060668945,0.02301764488220215
5,3,2,2,2,2,8,8,5,4,14,14,0.0013730525970458984,0.006142854690551758,0.14969706535339355,30,28,27,27,0,0,0,0,0,0,0,0,False,0.10348010063171387,0,0.013204813003540039
5,5,4,0,2,2,8,6,5,5,15,12,0.0012748241424560547,0.006097316741943359,0.09987568855285645,30,30,29,25,0,1,0,4,0,1,0,0,True,0.03531479835510254,0.005941152572631836,0.0211331844329834
5,5,4,0,3,3,9,7,5,5,15,13,0.0012428760528564453,0.006429195404052734,0.11368203163146973,32,32,31,27,0,1,0,4,0,1,0,0,True,0.04465794563293457,0.006043434143066406,0.023509979248046875
5,3,2,2,3,1,7,7,5,3,13,13,0.0014340877532958984,0.005875110626220703,0.12808489799499512,32,26,25,25,0,0,0,0,0,0,0,0,False,0.0831601619720459,0,0.012307882308959961
5,5,4,0,3,3,9,7,5,5,15,13,0.0013189315795898438,0.0067098140716552734,0.10877680778503418,32,32,31,27,0,1,0,4,0,1,0,0,True,0.04040217399597168,0.006436824798583984,0.02342081069946289
5,3,4,1,3,3,9,7,5,5,15,14,0.0016720294952392578,0.006491899490356445,0.13036894798278809,32,30,31,28,0,1,0,4,0,1,0,0,True,0.05792379379272461,0.007397890090942383,0.025467395782470703
5,3,2,2,3,3,9,9,5,5,15,15,0.0014510154724121094,0.0062139034271240234,0.15970206260681152,32,30,29,29,0,0,0,0,0,0,0,0,False,0.11239886283874512,0,0.013599395751953125
5,3,4,1,3,3,9,7,5,5,15,14,0.0016949176788330078,0.006565093994140625,0.1306290626525879,32,30,31,28,0,1,0,4,0,1,0,0,True,0.05829739570617676,0.007175922393798828,0.025536060333251953
4,4,3,1,3,3,9,7,5,5,15,14,0.0012447834014892578,0.006494760513305664,0.13182497024536133,31,31,30,28,0,1,0,4,0,1,0,0,True,0.06203484535217285,0.005976438522338867,0.0241091251373291
4,4,3,3,3,1,7,7,5,4,14,14,0.0013899803161621094,0.0058329105377197266,0.15674710273742676,31,27,26,26,0,0,0,0,0,0,0,0,False,0.11131501197814941,0,0.012510061264038086
4,4,3,1,3,3,9,7,5,5,15,13,0.0012993812561035156,0.0064449310302734375,0.12457895278930664,31,31,30,28,0,1,0,4,0,1,0,0,True,0.056601762771606445,0.005936384201049805,0.023625612258911133
4,4,3,1,3,3,9,7,5,5,15,14,0.0012979507446289062,0.006414890289306641,0.12058711051940918,31,31,30,28,0,1,0,4,0,1,0,0,True,0.05417919158935547,0.005539655685424805,0.022694110870361328
4,4,3,1,3,3,9,7,5,5,15,14,0.001283884048461914,0.0061817169189453125,0.12778401374816895,31,31,30,28,0,1,0,4,0,1,0,0,True,0.0570831298828125,0.006618976593017578,0.023917675018310547
4,4,3,1,3,3,9,7,5,5,15,14,0.0013222694396972656,0.006509065628051758,0.12297201156616211,31,31,30,28,0,1,0,4,0,1,0,0,True,0.05530095100402832,0.005573272705078125,0.02316904067993164
7,3,4,1,2,2,8,6,5,5,15,13,0.0016248226165771484,0.0062258243560791016,0.12107110023498535,32,28,29,26,0,1,0,4,0,1,0,0,True,0.05200600624084473,0.0065457820892333984,0.023210763931274414
6,4,5,0,2,2,8,6,5,5,15,12,0.0016257762908935547,0.006255149841308594,0.15472888946533203,31,29,30,25,0,1,0,4,0,1,0,0,True,0.038923025131225586,0.05252504348754883,0.023846149444580078
6,4,3,1,2,2,8,6,5,5,15,13,0.0014247894287109375,0.006155967712402344,0.11460614204406738,31,29,28,26,0,1,0,4,0,1,0,0,True,0.04892230033874512,0.005356311798095703,0.021732091903686523
6,2,3,2,2,2,8,8,5,4,15,14,0.001627206802368164,0.0063059329986572266,0.20834803581237793,31,27,28,27,0,0,0,0,0,0,0,0,False,0.16071176528930664,0,0.013646841049194336
5,3,4,1,2,2,8,6,5,4,15,12,0.0016219615936279297,0.006296873092651367,0.1268761157989502,30,28,29,26,0,1,0,4,0,1,0,0,True,0.05644726753234863,0.006537914276123047,0.023744821548461914
5,5,4,0,2,2,8,6,5,5,15,12,0.0012879371643066406,0.006147146224975586,0.10022497177124023,30,30,29,25,0,1,0,4,0,1,0,0,True,0.03544044494628906,0.005793094635009766,0.02093219757080078
5,3,2,2,2,2,8,8,5,4,14,14,0.0014159679412841797,0.006036043167114258,0.1486978530883789,30,28,27,27,0,0,0,0,0,0,0,0,False,0.10231709480285645,0,0.013200521469116211
5,3,2,2,3,1,7,7,5,3,13,13,0.0014209747314453125,0.005760669708251953,0.1324608325958252,32,26,25,25,0,0,0,0,0,0,0,0,False,0.08772706985473633,0,0.012174844741821289
5,5,4,1,3,3,9,5,5,5,15,13,0.00127410888671875,0.00658416748046875,0.12010502815246582,32,32,31,26,0,2,0,6,0,1,0,0,True,0.04921674728393555,0.006470918655395508,0.023970842361450195
5,3,2,2,3,3,9,9,5,5,15,15,0.001445770263671875,0.0062389373779296875,0.1582932472229004,32,30,29,29,0,0,0,0,0,0,0,0,False,0.11093854904174805,0,0.013718605041503906
5,3,4,1,3,3,9,7,5,5,15,13,0.0017278194427490234,0.006576061248779297,0.1383678913116455,32,30,31,28,0,1,0,4,0,1,0,0,True,0.06378293037414551,0.007420063018798828,0.026149988174438477
5,5,4,0,3,3,9,7,5,5,15,13,0.001310110092163086,0.0066449642181396484,0.11317300796508789,32,32,31,27,0,1,0,4,0,1,0,0,True,0.04204702377319336,0.007287025451660156,0.024430036544799805
5,3,4,1,3,3,9,7,5,5,15,13,0.0017337799072265625,0.006601095199584961,0.1372978687286377,32,30,31,28,0,1,0,4,0,1,0,0,True,0.06336545944213867,0.007456779479980469,0.02610158920288086
4,4,3,3,3,1,7,7,5,4,14,14,0.0013971328735351562,0.00594782829284668,0.16410398483276367,31,27,26,26,0,0,0,0,0,0,0,0,False,0.11825823783874512,0,0.012653112411499023
4,4,3,1,3,3,9,5,5,5,15,12,0.0012509822845458984,0.006368875503540039,0.10933184623718262,31,31,30,24,0,1,0,4,0,1,0,0,True,0.04547262191772461,0.006011009216308594,0.020519733428955078
4,4,3,1,3,3,9,7,5,5,15,13,0.0013670921325683594,0.006186008453369141,0.12921619415283203,31,31,30,28,0,1,0,4,0,1,0,0,True,0.060395240783691406,0.006133079528808594,0.023399829864501953
