Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
6,4,3,0,2,2,8,6,5,5,14,11,0.001477956771850586,0.00614619255065918,0.16767477989196777,31,29,28,21,0,0,0,0,0,0,0,0,False,0.13936209678649902,0,0.010705947875976562
5,3,2,0,2,2,8,6,5,5,14,12,0.0013670921325683594,0.0060427188873291016,0.12981462478637695,30,28,27,23,0,1,0,2,0,0,0,0,False,0.08660674095153809,0,0.009243249893188477
5,5,4,1,2,2,8,6,5,5,14,12,0.0012862682342529297,0.006245851516723633,0.2545430660247803,30,30,29,22,0,0,0,0,0,0,0,0,False,0.21187400817871094,0,0.01001286506652832
5,3,2,0,2,2,8,6,5,5,14,12,0.00138092041015625,0.00661921501159668,0.14272284507751465,30,28,27,23,0,1,0,2,0,0,0,0,False,0.1000816822052002,0,0.009670019149780273
4,2,1,0,2,2,8,6,5,4,13,12,0.0012938976287841797,0.0060100555419921875,0.103240966796875,29,27,26,23,0,1,0,2,0,0,0,0,False,0.062426090240478516,0,0.008917093276977539
4,4,3,1,2,2,8,6,5,5,14,12,0.001168966293334961,0.0060291290283203125,0.18056082725524902,29,29,28,24,0,1,0,2,0,0,0,0,False,0.1376633644104004,0,0.009992837905883789
4,4,3,1,2,2,8,6,5,5,14,13,0.0012362003326416016,0.00613713264465332,0.20426297187805176,29,29,28,24,0,1,0,2,0,0,0,0,False,0.1614079475402832,0,0.009978055953979492
4,4,3,3,3,3,9,9,5,5,14,16,0.0014531612396240234,0.0065882205963134766,0.2219688892364502,31,31,30,30,0,0,0,0,0,0,0,0,False,0.17599892616271973,0,0.011821985244750977
4,4,3,1,3,3,9,7,5,5,14,13,0.0013499259948730469,0.006379842758178711,0.19554400444030762,31,31,30,26,0,1,0,2,0,0,0,0,False,0.1512160301208496,0,0.010808229446411133
4,4,3,1,3,3,9,7,5,5,14,14,0.0013058185577392578,0.006478071212768555,0.21667766571044922,31,31,30,26,0,1,0,2,0,0,0,0,False,0.1728346347808838,0,0.0107879638671875
4,2,1,0,3,3,9,6,5,5,14,12,0.0013780593872070312,0.0060269832611083984,0.10798907279968262,31,29,28,27,0,1,0,4,0,1,0,0,False,0.06731724739074707,0,0.00897669792175293
4,4,3,0,3,3,9,5,5,5,14,10,0.0012011528015136719,0.0064182281494140625,0.08497214317321777,31,31,30,19,0,0,0,0,0,0,0,0,True,0.03044748306274414,0.006205081939697266,0.012918710708618164
4,2,1,1,3,1,7,7,5,3,12,13,0.0013239383697509766,0.005725860595703125,0.09392380714416504,31,25,24,24,0,0,0,0,0,0,0,0,False,0.05279374122619629,0,0.00973200798034668
