Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
9,1,1,1,2,2,2,2,5,3,3,3,0.0014078617095947266,0.003465890884399414,0.031033992767333984,13,5,5,5,0,0,0,0,0,0,0,0,False,0.012926340103149414,0,0.005529165267944336
8,2,2,2,2,2,2,2,5,4,4,3,0.001013040542602539,0.0027260780334472656,0.05479717254638672,12,6,6,6,0,0,0,0,0,0,0,0,False,0.027089595794677734,0,0.005373954772949219
8,2,2,2,2,2,2,2,5,3,3,3,0.0012280941009521484,0.0027549266815185547,0.06137204170227051,12,6,6,6,0,0,0,0,0,0,0,0,False,0.026984214782714844,0,0.005239725112915039
8,0,0,0,2,2,2,2,5,2,2,2,0.0010197162628173828,0.0025441646575927734,0.03704714775085449,12,4,4,4,0,0,0,0,0,0,0,0,False,0.004328727722167969,0,0.0045549869537353516
7,1,1,1,2,2,2,2,5,3,3,3,0.0009510517120361328,0.0026531219482421875,0.04445791244506836,11,5,5,5,0,0,0,0,0,0,0,0,False,0.010980844497680664,0,0.004813194274902344
7,3,3,3,2,2,2,2,5,4,4,3,0.00109100341796875,0.002804994583129883,0.08971905708312988,11,7,7,7,0,0,0,0,0,0,0,0,False,0.0528264045715332,0,0.0062220096588134766
7,1,1,1,2,2,2,2,5,2,2,2,0.0011739730834960938,0.0029609203338623047,0.046182870864868164,11,5,5,5,0,0,0,0,0,0,0,0,False,0.011863946914672852,0,0.005150318145751953
7,1,1,1,3,3,3,3,5,3,3,4,0.0012810230255126953,0.003500223159790039,0.05194520950317383,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015267133712768555,0,0.006662845611572266
7,3,3,3,3,3,3,3,5,4,4,4,0.0011930465698242188,0.0033948421478271484,0.10148000717163086,13,9,9,9,0,0,0,0,0,0,0,0,False,0.06409931182861328,0,0.007111310958862305
7,1,1,1,3,3,3,3,5,3,3,3,0.0012359619140625,0.0031232833862304688,0.04829907417297363,13,7,7,7,0,0,0,0,0,0,0,0,False,0.014615297317504883,0,0.0055849552154541016
7,1,1,1,3,3,3,3,5,4,4,4,0.0009860992431640625,0.0025682449340820312,0.04743027687072754,13,7,7,7,0,0,0,0,0,0,0,0,False,0.014204740524291992,0,0.004891872406005859
7,3,3,2,3,3,3,1,5,4,4,3,0.0010459423065185547,0.002939939498901367,0.1011812686920166,13,9,9,6,0,1,0,2,0,0,0,0,False,0.06605768203735352,0,0.005875110626220703
7,1,1,1,3,1,1,1,5,2,2,2,0.0009529590606689453,0.0021200180053710938,0.036589860916137695,13,3,3,3,0,0,0,0,0,0,0,0,False,0.006013154983520508,0,0.0034551620483398438
6,2,2,2,3,3,3,3,5,4,4,5,0.001077890396118164,0.0028967857360839844,0.06967401504516602,12,8,8,8,0,0,0,0,0,0,0,0,False,0.03385305404663086,0,0.006512880325317383
6,2,2,2,3,3,3,3,5,4,4,4,0.0010857582092285156,0.003069162368774414,0.06714391708374023,12,8,8,8,0,0,0,0,0,0,0,0,False,0.031759023666381836,0,0.006252288818359375
6,2,2,2,3,3,3,3,5,4,4,3,0.0010807514190673828,0.002855062484741211,0.06964588165283203,12,8,8,8,0,0,0,0,0,0,0,0,False,0.034165143966674805,0,0.006268978118896484
6,2,2,2,3,3,3,3,5,4,4,4,0.001087188720703125,0.0026397705078125,0.07051920890808105,12,8,8,8,0,0,0,0,0,0,0,0,False,0.03426718711853027,0,0.006108760833740234
6,2,2,1,3,3,3,1,5,4,4,3,0.001064300537109375,0.0028679370880126953,0.06787109375,12,8,8,5,0,1,0,2,0,0,0,0,False,0.03351712226867676,0,0.005676984786987305
6,2,2,2,3,1,1,1,5,3,3,2,0.0010960102081298828,0.002312898635864258,0.049211740493774414,12,4,4,4,0,0,0,0,0,0,0,0,False,0.017072677612304688,0,0.004189968109130859
10,2,2,2,2,2,2,2,5,3,3,4,0.0010311603546142578,0.0026710033416748047,0.05988597869873047,14,6,6,6,0,0,0,0,0,0,0,0,False,0.026058197021484375,0,0.005308628082275391
9,1,1,1,2,2,2,2,5,3,3,3,0.0009388923645019531,0.0024421215057373047,0.04308581352233887,13,5,5,5,0,0,0,0,0,0,0,0,False,0.010831356048583984,0,0.004669904708862305
9,1,1,1,2,2,2,2,5,3,3,3,0.0009462833404541016,0.002418994903564453,0.04420304298400879,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011568069458007812,0,0.004723072052001953
9,3,3,3,2,2,2,2,5,3,3,4,0.0010571479797363281,0.002683877944946289,0.08913302421569824,13,7,7,7,0,0,0,0,0,0,0,0,False,0.05385875701904297,0,0.005849123001098633
8,2,2,2,2,2,2,2,5,3,3,3,0.0010569095611572266,0.002576112747192383,0.060518741607666016,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02644634246826172,0,0.005247831344604492
8,0,0,0,2,2,2,2,5,2,2,2,0.0008969306945800781,0.002332925796508789,0.03586006164550781,12,4,4,4,0,0,0,0,0,0,0,0,False,0.004292011260986328,0,0.0041429996490478516
8,2,2,2,2,2,2,2,5,3,3,3,0.0009970664978027344,0.0025060176849365234,0.06082415580749512,12,6,6,6,0,0,0,0,0,0,0,0,False,0.026697635650634766,0,0.005290031433105469
8,2,2,1,3,3,3,1,5,3,3,3,0.0009860992431640625,0.0028002262115478516,0.06913304328918457,14,8,8,5,0,1,0,2,0,0,0,0,False,0.03502035140991211,0,0.005376100540161133
8,0,0,0,3,1,1,1,5,1,1,1,0.0009210109710693359,0.0020132064819335938,0.030364036560058594,14,2,2,2,0,0,0,0,0,0,0,0,False,0.0011742115020751953,0,0.002765178680419922
8,2,2,2,3,3,3,3,5,3,3,3,0.001149892807006836,0.0030150413513183594,0.07071781158447266,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03501009941101074,0,0.006425619125366211
8,2,2,2,3,3,3,3,5,3,3,4,0.0012269020080566406,0.0032072067260742188,0.07045197486877441,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03451824188232422,0,0.006365060806274414
8,0,0,0,3,3,3,3,5,3,3,3,0.0009329319000244141,0.0024890899658203125,0.038461923599243164,14,6,6,6,0,0,0,0,0,0,0,0,False,0.006153106689453125,0,0.004433155059814453
8,2,2,2,3,3,3,3,5,3,3,4,0.0011911392211914062,0.0029947757720947266,0.06939315795898438,14,8,8,8,0,0,0,0,0,0,0,0,False,0.033728837966918945,0,0.006367921829223633
7,1,1,0,3,3,3,1,5,3,3,2,0.0009720325469970703,0.0028753280639648438,0.04894614219665527,13,7,7,4,0,1,0,2,0,0,0,0,False,0.016205787658691406,0,0.00472712516784668
7,1,1,1,3,1,1,1,5,2,2,2,0.0010118484497070312,0.0021581649780273438,0.03491711616516113,13,3,3,3,0,0,0,0,0,0,0,0,False,0.005319118499755859,0,0.0029430389404296875
7,1,1,1,3,3,3,3,5,3,3,3,0.0010759830474853516,0.002946138381958008,0.05004596710205078,13,7,7,7,0,0,0,0,0,0,0,0,False,0.01522207260131836,0,0.005804777145385742
7,1,1,1,3,3,3,3,5,3,3,3,0.0010859966278076172,0.003015279769897461,0.04972386360168457,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015079021453857422,0,0.00577998161315918
7,1,1,1,3,3,3,3,5,3,3,3,0.001007080078125,0.002588987350463867,0.05084490776062012,13,7,7,7,0,0,0,0,0,0,0,0,False,0.01690053939819336,0,0.005203962326049805
7,1,1,1,3,3,3,3,5,3,3,3,0.0010330677032470703,0.002844095230102539,0.04875016212463379,13,7,7,7,0,0,0,0,0,0,0,0,False,0.014846324920654297,0,0.005522727966308594
10,2,2,2,2,2,2,2,5,3,3,3,0.001092672348022461,0.0026650428771972656,0.06037116050720215,14,6,6,6,0,0,0,0,0,0,0,0,False,0.02627277374267578,0,0.005370140075683594
9,3,3,3,2,2,2,2,5,3,3,4,0.0010609626770019531,0.0026531219482421875,0.08922195434570312,13,7,7,7,0,0,0,0,0,0,0,0,False,0.0543520450592041,0,0.00569915771484375
9,1,1,1,2,2,2,2,5,3,3,2,0.0009491443634033203,0.0024459362030029297,0.04417705535888672,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011591434478759766,0,0.004669904708862305
9,1,1,1,2,2,2,2,5,3,3,3,0.0009360313415527344,0.0024356842041015625,0.04270792007446289,13,5,5,5,0,0,0,0,0,0,0,0,False,0.010937213897705078,0,0.004370212554931641
8,2,2,2,2,2,2,2,5,3,3,4,0.001010894775390625,0.0025322437286376953,0.059995174407958984,12,6,6,6,0,0,0,0,0,0,0,0,False,0.026516199111938477,0,0.0051920413970947266
8,2,2,2,2,2,2,2,5,3,3,3,0.000993967056274414,0.002469301223754883,0.060363054275512695,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02669239044189453,0,0.0051882266998291016
8,0,0,0,2,2,2,2,5,2,2,2,0.0008249282836914062,0.0022640228271484375,0.03593015670776367,12,4,4,4,0,0,0,0,0,0,0,0,False,0.004343986511230469,0,0.004122734069824219
8,0,0,0,3,1,1,1,5,1,1,1,0.0008859634399414062,0.002046823501586914,0.030554771423339844,14,2,2,2,0,0,0,0,0,0,0,0,False,0.001180887222290039,0,0.002777099609375
8,2,2,1,3,3,3,1,5,3,3,3,0.0010030269622802734,0.002888917922973633,0.07043194770812988,14,8,8,5,0,1,0,2,0,0,0,0,False,0.036347150802612305,0,0.005427837371826172
8,0,0,0,3,3,3,3,5,3,3,3,0.0009410381317138672,0.0024559497833251953,0.038778066635131836,14,6,6,6,0,0,0,0,0,0,0,0,False,0.0061795711517333984,0,0.00474095344543457
8,2,2,2,3,3,3,3,5,3,3,5,0.0011792182922363281,0.002989053726196289,0.11687803268432617,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03447389602661133,0,0.006781816482543945
8,2,2,2,3,3,3,3,5,3,3,4,0.0011432170867919922,0.003113985061645508,0.0689849853515625,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03413581848144531,0,0.006196022033691406
8,2,2,2,3,3,3,3,5,3,3,5,0.0011792182922363281,0.003031015396118164,0.06908917427062988,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03357076644897461,0,0.006578207015991211
7,1,1,1,3,1,1,1,5,2,2,2,0.0009851455688476562,0.002145051956176758,0.0347599983215332,13,3,3,3,0,0,0,0,0,0,0,0,False,0.005274534225463867,0,0.003029346466064453
7,1,1,0,3,3,3,1,5,3,3,2,0.0009710788726806641,0.0027170181274414062,0.04933023452758789,13,7,7,4,0,1,0,2,0,0,0,0,False,0.016880512237548828,0,0.004709720611572266
7,1,1,1,3,3,3,3,5,3,3,3,0.0010266304016113281,0.0025839805603027344,0.05054807662963867,13,7,7,7,0,0,0,0,0,0,0,0,False,0.016558408737182617,0,0.005578041076660156
7,1,1,1,3,3,3,3,5,3,3,4,0.0010721683502197266,0.0028960704803466797,0.0484309196472168,13,7,7,7,0,0,0,0,0,0,0,0,False,0.014785051345825195,0,0.005671501159667969
7,1,1,1,3,3,3,3,5,3,3,4,0.0011210441589355469,0.0028312206268310547,0.049272775650024414,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015235662460327148,0,0.005491733551025391
7,1,1,1,3,3,3,3,5,3,3,4,0.0010731220245361328,0.0028619766235351562,0.04920601844787598,13,7,7,7,0,0,0,0,0,0,0,0,False,0.01487112045288086,0,0.0057790279388427734
10,2,2,2,2,2,2,2,5,3,3,3,0.0010347366333007812,0.0026099681854248047,0.05938601493835449,14,6,6,6,0,0,0,0,0,0,0,0,False,0.025774240493774414,0,0.005244016647338867
9,3,3,3,2,2,2,2,5,3,3,4,0.0010437965393066406,0.0026412010192871094,0.0885159969329834,13,7,7,7,0,0,0,0,0,0,0,0,False,0.05406665802001953,0,0.0057981014251708984
9,1,1,1,2,2,2,2,5,3,3,3,0.0009448528289794922,0.0024251937866210938,0.042649030685424805,13,5,5,5,0,0,0,0,0,0,0,0,False,0.010825395584106445,0,0.004415988922119141
9,1,1,1,2,2,2,2,5,3,3,2,0.0009629726409912109,0.002500295639038086,0.044203996658325195,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011559486389160156,0,0.004710674285888672
8,2,2,2,2,2,2,2,5,3,3,3,0.0009527206420898438,0.002457141876220703,0.059519052505493164,12,6,6,6,0,0,0,0,0,0,0,0,False,0.026241064071655273,0,0.005166053771972656
8,2,2,2,2,2,2,2,5,3,3,4,0.0010669231414794922,0.0025739669799804688,0.0605621337890625,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02686166763305664,0,0.005254268646240234
8,0,0,0,2,2,2,2,5,2,2,2,0.0008211135864257812,0.002235889434814453,0.03522014617919922,12,4,4,4,0,0,0,0,0,0,0,0,False,0.00421142578125,0,0.004049539566040039
8,0,0,0,3,3,3,3,5,3,3,3,0.0009548664093017578,0.002408266067504883,0.038297176361083984,14,6,6,6,0,0,0,0,0,0,0,0,False,0.0061762332916259766,0,0.004666805267333984
8,2,2,2,3,3,3,3,5,3,3,5,0.0011150836944580078,0.002953767776489258,0.06950092315673828,14,8,8,8,0,0,0,0,0,0,0,0,False,0.033988237380981445,0,0.006550788879394531
8,0,0,0,3,1,1,1,5,1,1,1,0.0008890628814697266,0.002009153366088867,0.03016805648803711,14,2,2,2,0,0,0,0,0,0,0,0,False,0.0011773109436035156,0,0.0027227401733398438
8,2,2,1,3,3,3,1,5,3,3,2,0.0009679794311523438,0.0028672218322753906,0.06901979446411133,14,8,8,5,0,1,0,2,0,0,0,0,False,0.03564739227294922,0,0.005248308181762695
8,2,2,2,3,3,3,3,5,3,3,5,0.0012271404266357422,0.0031518936157226562,0.06962299346923828,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03413558006286621,0,0.006469011306762695
8,2,2,2,3,3,3,3,5,3,3,4,0.0011188983917236328,0.0031120777130126953,0.06908011436462402,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03431963920593262,0,0.0061991214752197266
7,1,1,1,3,3,3,3,5,3,3,3,0.001024007797241211,0.0025582313537597656,0.05099177360534668,13,7,7,7,0,0,0,0,0,0,0,0,False,0.016714811325073242,0,0.005573749542236328
7,1,1,1,3,3,3,3,5,3,3,4,0.0010480880737304688,0.002832174301147461,0.04836392402648926,13,7,7,7,0,0,0,0,0,0,0,0,False,0.014681100845336914,0,0.005392789840698242
7,1,1,1,3,1,1,1,5,2,2,2,0.0009667873382568359,0.002173900604248047,0.034503936767578125,13,3,3,3,0,0,0,0,0,0,0,0,False,0.00525975227355957,0,0.0029840469360351562
7,1,1,0,3,3,3,1,5,3,3,2,0.0009479522705078125,0.0026769638061523438,0.04901623725891113,13,7,7,4,0,1,0,2,0,0,0,0,False,0.01651167869567871,0,0.004705190658569336
