Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
9,1,1,1,2,2,2,2,5,3,3,3,0.0015587806701660156,0.00333404541015625,0.02936577796936035,13,5,5,5,0,0,0,0,0,0,0,0,False,0.013409137725830078,0,0.004277944564819336
8,2,2,2,2,2,2,2,5,4,4,3,0.0010788440704345703,0.0026361942291259766,0.05326104164123535,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02677154541015625,0,0.004337310791015625
8,2,2,2,2,2,2,2,5,3,3,3,0.0011241436004638672,0.0026302337646484375,0.06098031997680664,12,6,6,6,0,0,0,0,0,0,0,0,False,0.026922225952148438,0,0.004639148712158203
8,0,0,0,2,2,2,2,5,2,2,2,0.0011620521545410156,0.0024890899658203125,0.03542208671569824,12,4,4,4,0,0,0,0,0,0,0,0,False,0.004289150238037109,0,0.003539562225341797
7,1,1,1,2,2,2,2,5,3,3,3,0.0011489391326904297,0.002984285354614258,0.04440784454345703,11,5,5,5,0,0,0,0,0,0,0,0,False,0.011187314987182617,0,0.0039958953857421875
7,3,3,3,2,2,2,2,5,4,4,3,0.0010809898376464844,0.0027971267700195312,0.08889222145080566,11,7,7,7,0,0,0,0,0,0,0,0,False,0.05265331268310547,0,0.0054399967193603516
7,1,1,1,2,2,2,2,5,2,2,2,0.0012407302856445312,0.0030159950256347656,0.04534196853637695,11,5,5,5,0,0,0,0,0,0,0,0,False,0.011962890625,0,0.003998756408691406
7,1,1,1,3,3,3,3,5,3,3,4,0.001216888427734375,0.0030558109283447266,0.04930591583251953,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015181779861450195,0,0.004895210266113281
7,3,3,3,3,3,3,3,5,4,4,4,0.00115203857421875,0.0030221939086914062,0.09981322288513184,13,9,9,9,0,0,0,0,0,0,0,0,False,0.06435704231262207,0,0.005732297897338867
7,1,1,1,3,3,3,3,5,3,3,3,0.0012118816375732422,0.003258228302001953,0.04726123809814453,13,7,7,7,0,0,0,0,0,0,0,0,False,0.014904260635375977,0,0.0043752193450927734
7,1,1,1,3,3,3,3,5,4,4,4,0.0010089874267578125,0.0025348663330078125,0.04873967170715332,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015095949172973633,0,0.0042722225189208984
7,3,3,2,3,3,3,1,5,4,4,3,0.001112222671508789,0.002936840057373047,0.10039615631103516,13,9,9,6,0,1,0,2,0,0,0,0,False,0.06642365455627441,0,0.0047931671142578125
7,1,1,1,3,1,1,1,5,2,2,2,0.0009491443634033203,0.0020983219146728516,0.03489089012145996,13,3,3,3,0,0,0,0,0,0,0,0,False,0.005898952484130859,0,0.002707958221435547
6,2,2,2,3,3,3,3,5,4,4,5,0.0010960102081298828,0.002856016159057617,0.0681159496307373,12,8,8,8,0,0,0,0,0,0,0,0,False,0.033715248107910156,0,0.005202770233154297
6,2,2,2,3,3,3,3,5,4,4,4,0.0011072158813476562,0.003017902374267578,0.06614089012145996,12,8,8,8,0,0,0,0,0,0,0,0,False,0.031977176666259766,0,0.005067110061645508
