Num_Qubits,Num_Layers,Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_CCX,L2_CCX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
10,20,18,18,18,14,39,39,39,39,0,0,20,20,20,23,0.002985239028930664,0.009422063827514648,35.61887884140015,96,96,96,92,0,0,0,0,0,0,0,0,True,35.55758476257324,0.00914621353149414,0.016381025314331055
10,20,20,20,20,14,36,36,36,36,0,0,20,20,20,23,0.0031061172485351562,0.009282112121582031,39.258923053741455,92,92,92,86,0,0,0,0,0,0,0,0,True,39.156198263168335,0.02505803108215332,0.02635979652404785
10,20,21,21,20,11,42,42,40,40,0,0,20,20,20,29,0.003381013870239258,0.010439157485961914,43.15872621536255,105,105,102,93,1,1,2,2,0,0,0,0,True,43.018096923828125,0.03995823860168457,0.03352665901184082
10,20,20,20,20,14,37,37,37,37,0,0,20,20,20,24,0.0028350353240966797,0.008707046508789062,43.50653290748596,94,94,94,88,0,0,0,0,0,0,0,0,True,43.4027681350708,0.025634765625,0.025215625762939453
10,20,21,21,21,15,43,43,43,43,0,0,20,20,20,26,0.0036017894744873047,0.010088920593261719,48.863266944885254,107,107,107,101,0,0,0,0,0,0,0,0,True,48.76834273338318,0.020982742309570312,0.02374410629272461
10,20,20,20,20,14,39,39,39,39,0,0,20,20,20,24,0.0030889511108398438,0.009061098098754883,43.09028506278992,98,98,98,92,0,0,0,0,0,0,0,0,True,42.981167793273926,0.027409791946411133,0.0267946720123291
10,20,21,21,17,14,35,35,31,31,0,0,20,20,19,24,0.005088090896606445,0.01091313362121582,42.14481520652771,91,91,83,78,2,1,4,2,0,0,0,0,True,42.04456424713135,0.02431344985961914,0.024583816528320312
10,20,23,23,23,13,47,47,47,45,0,0,20,20,20,23,0.003274202346801758,0.010461091995239258,50.91387581825256,117,117,117,103,0,0,0,0,0,0,0,0,True,50.754595041275024,0.04585528373718262,0.037847042083740234
10,20,18,18,17,13,38,38,36,34,0,0,20,20,20,21,0.0030400753021240234,0.009327173233032227,40.04098200798035,94,94,91,83,1,1,2,2,0,0,0,0,True,39.9566969871521,0.01796579360961914,0.020412921905517578
10,20,20,20,18,13,37,37,35,35,0,0,20,20,20,25,0.003072023391723633,0.010049581527709961,41.89883995056152,94,94,90,85,1,1,2,2,0,0,0,0,True,41.790871381759644,0.026540279388427734,0.02645277976989746
10,20,18,18,18,14,41,41,41,41,0,0,20,20,20,28,0.0032188892364501953,0.009317159652709961,41.126075744628906,100,100,100,96,0,0,0,0,0,0,0,0,True,41.05872464179993,0.009628057479858398,0.01772785186767578
10,20,17,17,17,13,43,43,43,43,0,0,20,20,20,30,0.003203868865966797,0.00982522964477539,41.11441898345947,103,103,103,99,0,0,0,0,0,0,0,0,True,41.0229434967041,0.01901555061340332,0.023122072219848633
10,20,16,16,16,14,44,44,44,44,0,0,20,20,20,25,0.0031440258026123047,0.009675025939941406,37.56603789329529,104,104,104,102,0,0,0,0,0,0,0,0,True,37.49782156944275,0.01025700569152832,0.018204450607299805
10,20,19,19,18,16,44,44,42,42,0,0,20,20,20,29,0.003124237060546875,0.00987386703491211,56.20952129364014,107,107,104,102,1,1,2,2,0,0,0,0,True,56.13520407676697,0.010724067687988281,0.018754005432128906
10,20,22,22,22,18,46,46,46,46,0,0,20,20,20,27,0.003397703170776367,0.01002812385559082,68.5100908279419,114,114,114,110,0,0,0,0,0,0,0,0,True,68.40212392807007,0.02430868148803711,0.024496078491210938
10,20,21,21,16,15,37,37,33,33,0,0,20,20,20,20,0.0031249523162841797,0.011579036712646484,50.93282508850098,95,95,86,83,2,1,4,2,0,0,0,0,True,50.86609745025635,0.009677886962890625,0.016449928283691406
10,20,27,27,27,15,41,41,41,39,0,0,20,20,20,25,0.0032911300659179688,0.009768009185791016,61.916194915771484,109,109,109,93,0,0,0,0,0,0,0,0,True,61.719332218170166,0.06196141242980957,0.04411792755126953
10,20,20,20,19,14,37,37,35,33,0,0,20,20,20,23,0.0030908584594726562,0.009402990341186523,35.537328004837036,94,94,91,80,1,0,2,0,0,0,0,0,True,35.45469284057617,0.017016172409057617,0.022849082946777344
10,20,19,19,18,18,43,43,41,41,0,0,20,20,20,25,0.003172159194946289,0.009785890579223633,66.91717910766602,105,105,102,102,1,1,2,2,0,0,0,0,False,66.86915993690491,0,0.012405872344970703
10,20,15,15,15,9,38,38,38,38,0,0,20,20,20,25,0.002973794937133789,0.008579015731811523,20.4163761138916,91,91,91,85,0,0,0,0,0,0,0,0,True,20.340576648712158,0.016473054885864258,0.019765615463256836
10,20,23,23,23,17,39,39,39,37,0,0,20,20,20,21,0.0032100677490234375,0.010226726531982422,51.00683808326721,101,101,101,91,0,0,0,0,0,0,0,0,True,50.89165425300598,0.029080867767333984,0.02767181396484375
10,20,22,22,22,18,47,47,47,47,0,0,20,20,20,25,0.003100872039794922,0.009937763214111328,60.91312503814697,116,116,116,112,0,0,0,0,0,0,0,0,True,60.808207511901855,0.02417898178100586,0.02396416664123535
