Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
6,4,3,2,2,2,8,6,5,5,14,12,0.0016138553619384766,0.004535198211669922,0.060450077056884766,31,29,28,23,0,0,0,0,0,0,0,0,True,0.0380702018737793,0.001619100570678711,0.006406068801879883
5,3,2,1,2,2,8,6,5,5,14,12,0.001445770263671875,0.004235982894897461,0.0384671688079834,30,28,27,22,0,0,0,0,0,0,0,0,True,0.01753830909729004,0.0013546943664550781,0.006021022796630859
5,5,4,1,2,2,8,6,5,5,14,12,0.0013880729675292969,0.004371166229248047,0.042507171630859375,30,30,29,22,0,0,0,0,0,0,0,0,True,0.021029233932495117,0.001621246337890625,0.005937099456787109
5,3,2,2,2,2,8,8,5,5,14,15,0.0015430450439453125,0.004394054412841797,0.08507108688354492,30,28,27,28,0,0,0,0,0,0,0,0,False,0.06525707244873047,0,0.005967855453491211
4,2,1,1,2,2,8,8,5,4,13,14,0.001554250717163086,0.004751920700073242,0.05134415626525879,29,27,26,27,0,0,0,0,0,0,0,0,False,0.03238844871520996,0,0.005589008331298828
4,4,3,0,2,2,8,6,5,5,14,11,0.0014541149139404297,0.004721164703369141,0.03273320198059082,29,29,28,21,0,0,0,0,0,0,0,0,True,0.010793209075927734,0.0014541149139404297,0.006197929382324219
4,4,3,1,2,2,8,6,5,5,14,12,0.0013780593872070312,0.0043680667877197266,0.062367916107177734,29,29,28,23,0,0,0,0,0,0,0,0,True,0.03924155235290527,0.001657247543334961,0.007169485092163086
4,4,3,1,3,3,9,7,5,5,14,12,0.0015208721160888672,0.004525899887084961,0.07254409790039062,31,31,30,25,0,0,0,0,0,0,0,0,True,0.048050880432128906,0.0020847320556640625,0.007715940475463867
4,4,3,0,3,3,9,7,5,5,14,12,0.0014955997467041016,0.004529237747192383,0.03707718849182129,31,31,30,23,0,0,0,0,0,0,0,0,True,0.013573646545410156,0.0019109249114990234,0.006825447082519531
4,4,3,2,3,3,9,7,5,5,14,12,0.0016040802001953125,0.004986763000488281,0.07486510276794434,31,31,30,25,0,0,0,0,0,0,0,0,True,0.0493009090423584,0.0024127960205078125,0.007121086120605469
4,2,1,1,3,3,9,9,5,5,14,15,0.0017209053039550781,0.004832029342651367,0.05765390396118164,31,29,28,29,0,0,0,0,0,0,0,0,False,0.037885189056396484,0,0.006153106689453125
4,4,3,0,3,3,9,4,5,5,14,9,0.0013339519500732422,0.004533052444458008,0.02779221534729004,31,31,30,21,0,1,0,4,0,1,0,0,True,0.008463859558105469,0.0015099048614501953,0.005202770233154297
4,2,1,1,3,1,7,7,5,3,12,13,0.001461029052734375,0.004322052001953125,0.04127192497253418,31,25,24,25,0,0,0,0,0,0,0,0,False,0.02350306510925293,0,0.00501704216003418
3,3,2,0,3,3,9,7,5,5,14,12,0.0014591217041015625,0.0043756961822509766,0.04607272148132324,30,30,29,24,0,0,0,0,0,0,0,0,True,0.02303028106689453,0.0018048286437988281,0.007333993911743164
3,3,2,0,3,3,9,7,5,5,14,12,0.0014028549194335938,0.004385709762573242,0.05072307586669922,30,30,29,24,0,0,0,0,0,0,0,0,True,0.02600884437561035,0.001728057861328125,0.008141040802001953
3,3,2,1,3,3,9,7,5,5,14,11,0.0014951229095458984,0.004489898681640625,0.04607796669006348,30,30,29,24,0,0,0,0,0,0,0,0,True,0.02358388900756836,0.00167083740234375,0.0064640045166015625
3,3,2,0,3,3,9,7,5,5,14,12,0.0014348030090332031,0.00431370735168457,0.04859590530395508,30,30,29,24,0,0,0,0,0,0,0,0,True,0.024280548095703125,0.0017287731170654297,0.00787663459777832
3,3,2,0,3,3,9,4,5,5,14,9,0.0013549327850341797,0.004364967346191406,0.03028392791748047,30,30,29,21,0,1,0,4,0,1,0,0,True,0.010696887969970703,0.001325845718383789,0.0053997039794921875
