Original_X,L2_X,L3_X,TLC_X,Original_CX,L2_CX,L3_CX,TLC_CX,Original_Layers,L2_Layers,L3_Layers,TLC_Layers,L2_Time,L3_Time,TLC_Time,Original_Cost,L2_Cost,L3_Cost,TLC_Cost,L3_Unitary,TLC_Unitary,L3_Unitary_X,TLC_Unitary_X,L3_Unitary_CX,TLC_Unitary_CX,L3_Unitary_CCX,TLC_Unitary_CCX,Template_Matched,Template_Matching_Time,Template_Substitution_Time,Optimization_Pass_Time
9,1,1,1,2,2,2,2,5,3,3,3,0.0028700828552246094,0.004196882247924805,0.032423973083496094,13,5,5,5,0,0,0,0,0,0,0,0,False,0.01480412483215332,0,0.0038170814514160156
8,2,2,2,2,2,2,2,5,4,4,3,0.0014107227325439453,0.002418994903564453,0.04282021522521973,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02791142463684082,0,0.0032470226287841797
8,2,2,2,2,2,2,2,5,3,3,3,0.0014190673828125,0.002357959747314453,0.04292726516723633,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02812981605529785,0,0.0034291744232177734
8,0,0,0,2,2,2,2,5,2,2,2,0.0013651847839355469,0.002355813980102539,0.017884016036987305,12,4,4,4,0,0,0,0,0,0,0,0,False,0.0044977664947509766,0,0.0027222633361816406
7,1,1,1,2,2,2,2,5,3,3,3,0.0012617111206054688,0.002192974090576172,0.025691986083984375,11,5,5,5,0,0,0,0,0,0,0,0,False,0.011902093887329102,0,0.002963542938232422
7,3,3,3,2,2,2,2,5,4,4,3,0.0014171600341796875,0.0024280548095703125,0.07371091842651367,11,7,7,7,0,0,0,0,0,0,0,0,False,0.057619571685791016,0,0.003538846969604492
7,1,1,1,2,2,2,2,5,2,2,2,0.001477956771850586,0.002665281295776367,0.02731490135192871,11,5,5,5,0,0,0,0,0,0,0,0,False,0.012025833129882812,0,0.0034515857696533203
7,1,1,1,3,3,3,3,5,3,3,4,0.0015718936920166016,0.003136157989501953,0.033245086669921875,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015941143035888672,0,0.0043599605560302734
7,3,3,3,3,3,3,3,5,4,4,4,0.001415252685546875,0.0028078556060791016,0.08696818351745605,13,9,9,9,0,0,0,0,0,0,0,0,False,0.06934428215026855,0,0.00441741943359375
7,1,1,1,3,3,3,3,5,3,3,3,0.0019271373748779297,0.003242015838623047,0.029899120330810547,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015212059020996094,0,0.003366231918334961
7,1,1,1,3,3,3,3,5,4,4,4,0.0013141632080078125,0.002254009246826172,0.02790093421936035,13,7,7,7,0,0,0,0,0,0,0,0,False,0.01401662826538086,0,0.002927064895629883
7,3,3,2,3,3,3,1,5,4,4,3,0.0012989044189453125,0.002341747283935547,0.08748793601989746,13,9,9,6,0,1,0,2,0,0,0,0,False,0.07201743125915527,0,0.0036132335662841797
7,1,1,1,3,1,1,1,5,2,2,2,0.0012359619140625,0.0018758773803710938,0.019057273864746094,13,3,3,3,0,0,0,0,0,0,0,0,False,0.005815744400024414,0,0.002638101577758789
6,2,2,2,3,3,3,3,5,4,4,5,0.001402139663696289,0.003001689910888672,0.05096077919006348,12,8,8,8,0,0,0,0,0,0,0,0,False,0.03491568565368652,0,0.0037081241607666016
6,2,2,2,3,3,3,3,5,4,4,4,0.001300811767578125,0.002613067626953125,0.04979896545410156,12,8,8,8,0,0,0,0,0,0,0,0,False,0.033263444900512695,0,0.0037162303924560547
6,2,2,2,3,3,3,3,5,4,4,3,0.0015621185302734375,0.002721071243286133,0.0530240535736084,12,8,8,8,0,0,0,0,0,0,0,0,False,0.03629302978515625,0,0.004065275192260742
6,2,2,2,3,3,3,3,5,4,4,4,0.0015270709991455078,0.002997159957885742,0.05244112014770508,12,8,8,8,0,0,0,0,0,0,0,0,False,0.03590512275695801,0,0.0038073062896728516
6,2,2,1,3,3,3,1,5,4,4,3,0.0013530254364013672,0.0023348331451416016,0.05051422119140625,12,8,8,5,0,1,0,2,0,0,0,0,False,0.03568720817565918,0,0.003256082534790039
6,2,2,2,3,1,1,1,5,3,3,2,0.001264810562133789,0.0020532608032226562,0.031059980392456055,12,4,4,4,0,0,0,0,0,0,0,0,False,0.017640113830566406,0,0.002631664276123047
10,2,2,2,2,2,2,2,5,3,3,4,0.0014002323150634766,0.002290964126586914,0.04077506065368652,14,6,6,6,0,0,0,0,0,0,0,0,False,0.027013778686523438,0,0.0029141902923583984
9,1,1,1,2,2,2,2,5,3,3,3,0.0011882781982421875,0.0024847984313964844,0.02533578872680664,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011212348937988281,0,0.003114461898803711
9,1,1,1,2,2,2,2,5,3,3,3,0.0011491775512695312,0.002171039581298828,0.025707006454467773,13,5,5,5,0,0,0,0,0,0,0,0,False,0.011576414108276367,0,0.0033762454986572266
9,3,3,3,2,2,2,2,5,3,3,4,0.0013718605041503906,0.0023932456970214844,0.07435297966003418,13,7,7,7,0,0,0,0,0,0,0,0,False,0.059101104736328125,0,0.0033600330352783203
8,2,2,2,2,2,2,2,5,3,3,3,0.0012941360473632812,0.002184152603149414,0.042233943939208984,12,6,6,6,0,0,0,0,0,0,0,0,False,0.02792954444885254,0,0.003030061721801758
8,0,0,0,2,2,2,2,5,2,2,2,0.0010409355163574219,0.0019779205322265625,0.017229080200195312,12,4,4,4,0,0,0,0,0,0,0,0,False,0.004384517669677734,0,0.0024666786193847656
8,2,2,2,2,2,2,2,5,3,3,3,0.001425027847290039,0.0023632049560546875,0.042523860931396484,12,6,6,6,0,0,0,0,0,0,0,0,False,0.028354644775390625,0,0.0031249523162841797
8,2,2,1,3,3,3,1,5,3,3,3,0.0017559528350830078,0.0031816959381103516,0.05222797393798828,14,8,8,5,0,1,0,2,0,0,0,0,False,0.03660130500793457,0,0.0034639835357666016
8,0,0,0,3,1,1,1,5,1,1,1,0.0012500286102294922,0.0020759105682373047,0.015365839004516602,14,2,2,2,0,0,0,0,0,0,0,0,False,0.0011398792266845703,0,0.0031571388244628906
8,2,2,2,3,3,3,3,5,3,3,3,0.0013141632080078125,0.002529144287109375,0.06798291206359863,14,8,8,8,0,0,0,0,0,0,0,0,False,0.05039477348327637,0,0.0036530494689941406
8,2,2,2,3,3,3,3,5,3,3,4,0.0017609596252441406,0.0027840137481689453,0.05275225639343262,14,8,8,8,0,0,0,0,0,0,0,0,False,0.03670215606689453,0,0.003844022750854492
8,0,0,0,3,3,3,3,5,3,3,3,0.0012509822845458984,0.0021440982818603516,0.02023482322692871,14,6,6,6,0,0,0,0,0,0,0,0,False,0.006099224090576172,0,0.0032787322998046875
8,2,2,2,3,3,3,3,5,3,3,4,0.0013921260833740234,0.0026831626892089844,0.051937103271484375,14,8,8,8,0,0,0,0,0,0,0,0,False,0.035478830337524414,0,0.004257678985595703
7,1,1,0,3,3,3,1,5,3,3,2,0.0013649463653564453,0.0025780200958251953,0.03059697151184082,13,7,7,4,0,1,0,2,0,0,0,0,False,0.0168001651763916,0,0.0027618408203125
7,1,1,1,3,1,1,1,5,2,2,2,0.0013871192932128906,0.0022001266479492188,0.019032955169677734,13,3,3,3,0,0,0,0,0,0,0,0,False,0.005207061767578125,0,0.002826690673828125
7,1,1,1,3,3,3,3,5,3,3,3,0.001338958740234375,0.0023589134216308594,0.02955794334411621,13,7,7,7,0,0,0,0,0,0,0,0,False,0.015414237976074219,0,0.0030019283294677734
